account length,location code,user id,credit card info save,push status,add to wishlist,desktop sessions,app sessions,desktop transactions,total product detail views,session duration,promotion clicks,avg order value,sale product views,discount rate per visited products,product detail view per app session,app transactions,add to cart per session,customer service calls,churn
136,415,4021381,yes,yes,33,204,35,16,106,188,99,1017,107,458,105,6,284,3,0
149,408,3329891,no,no,0,140,24,23,94,272,92,1883,108,847,111,9,3,1,0
98,408,3729976,no,no,0,126,21,14,102,167,85,1878,135,845,94,2,254,3,0
135,408,3836029,yes,yes,41,173,29,17,85,204,107,1222,78,55,146,15,394,0,1
34,510,3537289,no,no,0,125,21,24,82,282,98,3115,78,1402,10,4,27,2,0
160,415,3907274,no,no,0,86,15,14,77,165,110,1785,92,803,92,4,248,3,0
64,510,3521237,no,no,0,154,26,19,67,226,118,2653,86,1194,35,3,95,1,0
59,408,3533061,no,yes,28,121,21,18,97,213,92,1631,116,734,85,5,23,2,0
65,415,3635450,no,no,0,211,36,14,120,163,122,1347,118,606,132,5,356,3,0
142,408,3641995,no,no,0,187,32,11,133,135,74,2422,127,109,74,5,2,2,0
119,415,3981294,no,no,0,159,27,20,114,231,117,1432,91,644,88,3,238,5,1
97,415,4057146,no,yes,24,133,23,18,135,217,58,706,79,318,11,3,297,1,0
52,408,4134957,no,no,0,192,33,23,108,270,96,2368,87,1066,78,5,211,3,0
60,408,4205645,no,no,0,221,38,18,57,211,115,249,129,1121,68,3,184,1,0
10,408,3494396,no,no,0,186,32,16,112,190,66,2828,57,1273,114,6,308,2,0
96,415,4043211,no,no,0,160,27,23,117,268,67,2285,68,1028,93,5,251,2,0
87,415,3533759,no,no,0,151,26,19,83,220,116,2039,127,918,97,3,262,5,1
81,408,3635947,no,no,0,176,30,21,67,249,85,2702,98,1216,102,3,275,1,0
141,415,3405121,no,no,0,127,22,15,98,180,62,1408,128,634,8,2,216,1,0
121,408,3707574,no,yes,30,198,34,6,129,75,77,1812,77,815,58,3,157,3,1
68,415,4039733,no,no,0,149,25,21,70,247,164,1298,103,584,121,3,327,3,0
125,408,3557251,no,no,0,229,39,15,103,177,126,1893,95,852,12,8,324,1,0
174,408,3595893,no,no,0,192,33,14,97,170,94,1666,54,75,114,4,308,1,0
116,415,4053371,no,yes,34,269,46,15,83,178,142,1663,106,748,116,3,313,2,0
74,510,3445117,no,yes,33,194,33,21,91,246,96,138,92,621,146,3,394,2,0
149,408,3328160,no,yes,28,181,31,16,92,188,64,2655,53,1195,126,3,34,3,0
38,408,3594081,no,no,0,131,22,14,98,163,97,159,106,715,82,6,221,2,0
40,415,3528305,no,yes,41,148,25,14,74,170,88,2141,102,963,62,5,167,2,0
43,415,3299847,yes,no,0,252,43,18,105,213,104,1578,67,71,93,4,251,0,0
113,408,3659011,yes,no,0,125,21,18,93,206,119,1293,139,582,83,8,224,0,0
126,408,3389472,no,no,0,212,36,18,70,217,80,1535,60,691,78,1,211,1,0
150,510,3748042,no,no,0,179,30,14,101,169,110,1486,100,669,138,3,373,4,1
138,408,3591231,no,no,0,242,41,14,93,171,83,2953,104,1329,118,7,319,3,0
162,510,4137170,no,yes,46,225,38,16,97,188,84,2546,61,1146,121,2,327,0,0
147,510,4152935,no,no,0,249,42,13,83,149,85,1725,109,776,8,4,216,3,0
90,415,3994246,no,no,0,203,35,19,146,227,117,1524,105,686,73,4,197,1,0
85,415,3625889,no,no,0,236,40,13,109,157,94,1882,99,847,12,3,324,0,0
50,415,3508921,no,no,0,157,27,19,90,223,72,1814,111,816,61,2,165,1,0
82,415,3745353,no,no,0,300,51,15,109,181,100,2701,73,1215,117,4,316,0,1
144,408,3601171,no,no,0,62,10,7,117,77,85,173,99,779,82,7,221,4,1
46,415,3558887,no,no,0,214,36,14,72,164,104,1775,113,799,82,3,221,2,0
70,408,3331967,no,no,0,170,29,13,98,155,102,2286,76,1029,15,2,405,1,0
144,415,3544577,no,no,0,201,34,26,99,304,74,224,119,1008,132,2,356,1,0
116,415,3317425,yes,no,0,215,37,17,104,205,79,2785,109,1253,126,5,34,3,0
55,408,4192637,no,yes,25,166,28,12,123,136,95,1757,90,791,11,2,297,3,0
70,415,4111530,no,yes,24,250,42,22,101,260,98,2227,68,1002,98,4,265,1,0
106,510,3953026,no,no,0,211,36,21,96,249,85,1914,88,861,124,1,335,2,1
128,510,3886441,no,yes,29,179,30,19,104,226,86,323,78,1454,86,7,232,0,0
94,408,4021251,no,no,0,158,27,13,105,155,101,1896,84,853,8,5,216,4,1
111,510,4129997,no,no,0,214,36,18,118,209,76,1824,98,821,12,2,324,1,0
74,415,3467302,no,yes,35,154,26,10,104,123,84,2021,57,909,109,9,294,2,0
128,415,3589095,no,no,0,238,40,21,125,248,93,2089,68,94,139,4,375,1,1
82,510,4009770,no,no,0,144,24,17,61,195,105,1096,94,493,111,2,3,1,0
155,415,3341275,no,no,0,203,35,16,100,191,104,196,119,882,89,4,24,0,1
80,415,3404953,no,no,0,124,21,15,100,173,107,2532,62,1139,79,9,213,1,0
78,415,4009510,no,no,0,253,43,15,93,178,112,2639,105,1188,95,7,257,3,0
90,415,3876103,no,no,0,179,30,16,71,191,81,1277,91,575,106,7,286,3,0
104,408,3664467,no,no,0,278,47,7,106,81,113,1632,137,734,98,5,265,1,0
73,415,3703450,no,no,0,160,27,18,110,213,72,1741,72,783,13,4,351,0,0
99,415,3273954,no,no,0,198,34,18,87,207,76,1909,113,859,87,3,235,4,0
120,408,3556291,no,no,0,212,36,18,131,209,104,1672,96,752,53,5,143,1,1
77,415,3629748,no,no,0,252,43,17,72,206,126,2752,109,1238,98,7,265,2,1
98,510,3796506,no,yes,21,161,27,21,114,252,83,1602,92,721,44,8,119,4,0
108,415,3477741,no,no,0,178,30,16,137,189,76,1291,102,581,146,5,394,0,0
135,415,3543783,no,no,0,152,26,10,82,119,105,180,100,81,105,6,284,0,0
95,408,4017594,no,no,0,135,23,16,99,184,106,2453,102,1104,125,9,338,1,0
122,408,3974976,no,no,0,171,29,15,94,174,109,2486,75,1119,113,2,305,1,0
95,408,3342577,no,no,0,238,40,16,65,187,98,190,115,855,118,4,319,4,0
36,510,4003637,no,yes,29,281,48,17,102,202,76,1872,113,842,9,6,243,2,0
93,510,3834361,no,yes,21,118,20,14,131,165,115,217,86,976,98,3,265,1,0
141,415,3714306,no,yes,32,149,25,11,91,131,97,2194,142,987,101,1,273,1,0
157,408,4034298,no,no,0,230,39,13,90,148,121,2414,108,1086,96,7,259,3,0
120,408,4093786,no,no,0,165,28,27,100,317,83,1192,86,536,83,8,224,1,0
103,415,3374697,no,no,0,185,31,19,117,223,94,2228,91,1003,126,2,34,2,0
98,408,3831509,no,no,0,161,27,16,117,191,113,2277,113,1025,121,4,327,4,0
125,408,3599794,no,no,0,127,22,18,108,206,90,2478,114,1115,133,7,359,1,0
63,415,4077035,no,no,0,59,10,14,125,170,59,2114,88,951,94,3,254,1,0
36,510,3631069,yes,yes,42,197,33,22,89,255,122,1383,126,622,20,6,54,0,1
64,510,3914652,no,no,0,163,28,13,83,152,109,575,122,259,142,3,383,1,0
74,415,3556837,no,no,0,283,48,19,114,220,48,170,115,765,94,4,254,1,1
112,510,4091244,no,yes,36,114,19,13,117,158,82,1776,118,799,10,3,27,2,0
97,408,3283266,no,no,0,240,41,18,125,215,111,1433,81,645,87,5,235,2,0
46,408,3527072,no,no,0,210,36,19,92,227,77,2001,116,9,131,7,354,1,0
41,408,3707550,no,yes,22,214,36,12,102,142,86,1422,123,64,72,3,194,0,0
121,510,3695526,no,no,0,191,32,16,103,184,117,2208,103,994,98,4,265,3,0
193,415,3294391,no,no,0,171,29,11,124,132,95,1129,89,508,116,3,313,1,0
130,510,4084195,no,no,0,154,26,9,119,110,98,2274,117,1023,92,5,248,2,0
85,408,3544445,no,no,0,201,34,20,52,229,104,2525,106,1136,12,3,324,1,0
162,415,3354858,no,no,0,71,12,13,108,158,87,1548,82,697,91,3,246,4,1
61,510,4148718,no,yes,27,188,32,12,124,147,103,2257,129,1016,64,6,173,4,1
92,408,4095939,no,no,0,92,16,16,90,194,123,175,86,788,92,4,248,2,0
131,408,3314902,no,yes,36,214,36,14,115,162,117,2647,102,1191,95,4,257,3,0
90,415,3536870,no,no,0,146,25,19,92,218,114,1469,123,661,109,2,294,3,0
75,408,3552909,no,no,0,166,28,13,125,158,86,2567,80,1155,61,5,165,1,0
78,415,3906101,no,no,0,231,39,20,115,230,140,2614,120,1176,95,3,257,1,0
82,408,4003446,no,no,0,200,34,17,96,201,102,2061,60,927,71,1,192,4,0
163,408,4115859,no,no,0,197,33,17,109,203,128,2064,80,929,91,10,246,1,0
91,510,3872919,yes,no,0,130,22,15,112,173,83,2472,130,1112,112,3,302,3,0
75,415,3748525,no,yes,21,176,30,18,97,218,106,2375,134,1069,53,4,143,5,0
91,510,3795592,no,no,0,203,35,18,106,210,113,1956,129,88,12,3,324,3,0
127,510,3458237,no,yes,36,183,31,11,117,127,76,2633,71,1185,112,8,302,1,0
113,415,4226690,no,yes,23,205,35,13,101,152,60,1586,59,714,102,5,275,2,0
110,510,3462359,no,no,0,149,25,23,115,276,84,1936,112,871,124,3,335,1,0
120,415,3743534,no,yes,39,200,34,19,68,220,97,2538,116,1142,105,4,284,0,0
157,415,3814756,no,yes,28,193,33,17,107,196,74,1097,139,494,68,5,184,3,0
103,510,3902805,no,no,0,247,42,17,47,196,84,2005,96,902,117,4,316,1,0
117,408,3902390,yes,no,0,167,28,15,86,178,87,2494,132,1122,141,7,381,2,1
140,415,4199097,no,no,0,232,39,14,101,160,94,1104,98,497,143,6,386,3,0
127,408,3867281,no,no,0,147,25,17,91,204,78,2034,110,915,137,3,37,1,0
83,408,3803561,yes,no,0,272,46,18,87,216,126,1211,105,545,117,4,316,1,0
121,408,3908760,no,no,0,182,31,19,121,218,98,1616,103,727,85,5,23,1,0
145,408,3666730,no,yes,43,258,44,14,97,162,95,2869,86,1291,111,4,3,2,0
113,408,3955285,no,no,0,194,33,19,99,221,125,1723,67,775,106,6,286,1,0
117,415,3543436,no,no,0,103,17,18,119,207,91,299,105,1346,101,7,273,1,0
65,408,3367600,no,no,0,188,32,13,116,158,117,2273,86,1023,75,6,203,1,0
56,415,3836293,no,no,0,226,38,21,112,249,118,1405,142,632,69,11,186,1,0
96,415,3624596,no,no,0,260,44,12,115,146,46,2695,87,1213,115,4,311,5,0
151,408,4013926,no,no,0,179,30,25,116,292,138,2659,101,1197,98,4,265,0,0
83,415,3709116,no,no,0,337,57,19,120,227,116,1539,114,693,158,7,427,0,1
139,510,3286289,no,yes,23,158,27,21,129,247,96,2592,112,1166,137,2,37,0,0
6,510,3509994,no,no,0,184,31,22,117,257,72,1786,79,804,102,2,275,1,0
115,510,3514616,no,yes,24,142,24,16,124,183,129,1648,114,742,96,4,259,1,0
87,415,3605779,no,no,0,136,23,15,97,172,108,1375,101,619,71,5,192,0,0
141,415,4174885,no,no,0,217,37,21,110,242,111,2535,103,1141,12,6,324,0,0
141,510,4064710,no,yes,36,188,32,21,99,241,116,2295,105,1033,105,5,284,3,0
62,415,4098743,no,no,0,99,17,12,103,135,122,2366,82,1065,122,1,329,1,0
146,415,3354584,no,no,0,206,35,13,151,149,89,1672,91,752,61,3,165,1,0
92,415,3619845,no,yes,33,243,41,18,92,214,92,2287,104,1029,121,2,327,2,0
185,510,3665699,no,yes,31,190,32,14,126,163,133,2648,126,1192,75,3,203,1,0
148,415,3299364,no,no,0,202,34,21,102,243,128,2613,90,1176,109,3,294,1,0
94,408,3907434,no,yes,38,170,29,16,124,193,116,1059,73,477,128,4,346,1,0
32,510,4049680,no,no,0,231,39,16,87,187,90,154,53,693,63,2,17,0,0
68,408,3389398,no,no,0,237,40,19,105,224,105,974,79,438,132,2,356,1,0
64,408,3942445,no,yes,27,182,31,14,91,170,98,1647,86,741,106,5,286,2,0
25,415,3812709,no,no,0,119,20,18,87,212,101,2689,86,121,105,4,284,3,0
65,415,3975060,no,no,0,117,20,15,87,179,93,1824,150,821,141,2,381,1,0
179,408,4152393,no,no,0,219,37,13,92,149,125,2447,104,1101,61,5,165,0,0
94,415,3771765,no,no,0,253,43,14,104,169,125,1709,106,769,111,7,3,2,0
62,415,4092111,no,no,0,147,25,16,91,190,107,1952,115,878,122,3,329,0,0
127,415,4013170,no,no,0,202,34,20,103,229,86,1952,113,878,115,3,311,2,0
116,408,4055681,no,no,0,174,30,17,93,194,76,208,112,936,162,10,437,3,0
70,408,4114582,no,no,0,232,39,25,122,292,112,2012,112,905,0,0,0,3,0
94,510,3555009,yes,yes,23,197,34,18,125,215,136,2822,103,127,95,5,257,4,0
126,415,3723750,no,no,0,58,10,12,94,139,118,1368,91,616,119,1,321,5,1
67,408,4052888,no,yes,36,116,20,20,111,238,94,1699,103,765,99,12,267,2,0
19,408,3613337,no,no,0,186,32,22,98,254,57,214,127,963,146,7,394,2,0
170,510,3501639,yes,no,0,260,44,21,68,245,122,1344,121,605,84,3,227,3,0
73,415,3333221,no,no,0,214,36,23,145,269,135,2412,92,1085,108,13,292,1,0
106,408,4221471,no,no,0,159,27,5,74,64,139,1985,103,893,102,4,275,1,0
93,415,3997865,no,no,0,272,46,20,71,229,108,773,121,348,109,3,294,2,0
164,510,3734819,no,no,0,161,27,14,111,163,126,1871,112,842,9,3,243,1,0
51,408,3386981,no,no,0,232,40,16,109,187,95,2312,107,104,91,3,246,1,0
107,415,4184365,no,no,0,134,23,15,85,181,94,1122,115,505,89,4,24,0,0
130,415,3595461,no,no,0,177,30,8,109,91,104,238,69,1071,95,2,257,1,0
80,408,3753586,no,no,0,210,36,17,74,195,77,2082,119,937,88,4,238,2,0
94,415,4078376,no,no,0,138,23,17,118,203,88,150,131,675,134,2,362,0,0
118,408,4086496,no,yes,23,290,49,14,52,167,111,1191,88,536,95,4,257,1,0
117,415,3857688,no,yes,23,198,34,15,86,177,86,1805,92,812,68,6,184,1,0
78,415,3326934,no,no,0,150,25,15,119,182,115,2615,126,1177,97,8,262,0,0
208,510,3783625,no,no,0,327,56,15,67,176,113,1817,102,818,107,6,289,2,1
131,510,3537292,yes,yes,26,293,50,17,101,200,97,2553,127,1149,138,7,373,4,1
63,408,3996786,no,no,0,83,14,15,64,177,106,2457,89,1106,13,3,351,0,0
53,415,3583261,no,yes,24,146,25,19,146,221,136,2499,96,1125,131,5,354,3,0
62,408,3779932,no,no,0,182,31,28,101,328,93,245,131,1103,112,1,302,2,0
97,415,3974030,no,no,0,218,37,16,86,184,94,2405,110,1082,64,8,173,3,0
105,510,3671062,no,no,0,141,24,15,109,179,51,217,83,976,68,3,184,2,0
157,415,3418467,no,no,0,153,26,22,105,258,80,1981,93,891,94,4,254,1,0
66,415,3399453,no,yes,36,107,18,18,76,210,77,1904,117,857,121,2,327,1,0
122,415,3443388,no,no,0,244,41,7,98,84,72,1798,84,809,137,8,37,2,0
38,415,3758013,no,no,0,194,33,16,94,187,95,2233,90,1005,108,5,292,3,0
106,510,4084142,no,no,0,214,36,13,95,152,70,2601,124,117,122,5,329,3,0
99,510,3863671,no,no,0,217,37,21,112,247,89,2261,89,1017,158,7,427,3,0
99,415,4112284,no,no,0,241,41,13,72,156,98,1882,109,847,116,10,313,1,0
144,510,3467795,yes,no,0,204,35,21,100,248,103,1943,94,874,119,11,321,0,0
82,415,3335609,no,yes,24,155,26,21,131,245,106,1224,68,551,107,3,289,1,0
86,408,4051842,no,yes,31,168,28,10,139,113,118,2469,121,1111,122,6,329,1,0
70,510,3666345,yes,no,0,227,39,19,98,228,115,732,93,329,176,4,475,2,1
93,415,3379345,no,no,0,179,30,15,93,179,98,2252,131,1013,115,6,311,3,0
93,415,3286770,no,no,0,151,26,16,89,186,76,1725,120,776,109,3,294,0,0
120,415,3807321,no,no,0,180,31,19,80,224,82,2654,91,1194,47,7,127,3,0
136,415,3751476,no,no,0,250,43,23,121,267,118,151,114,68,13,2,351,1,1
106,415,3561567,no,no,0,223,38,9,121,110,98,1887,107,849,71,12,192,0,0
81,415,4226685,no,no,0,184,31,13,116,153,98,2122,99,955,122,6,329,3,0
127,408,3361090,no,yes,22,166,28,15,114,175,103,2449,68,1102,102,6,275,1,0
65,415,3432095,no,no,0,136,23,23,112,273,96,2202,104,991,44,2,119,1,0
35,408,3453934,no,no,0,149,25,21,113,242,122,1743,104,784,89,6,24,2,0
88,408,3388050,no,no,0,65,11,14,97,168,76,236,113,1062,138,1,373,2,0
65,415,3889568,no,no,0,213,36,20,111,235,94,2501,123,1125,27,4,73,1,0
123,415,4026591,no,no,0,207,35,21,85,245,78,2215,136,997,77,2,208,3,0
126,408,4036419,no,yes,27,186,32,16,78,190,83,765,139,344,96,3,259,2,0
104,415,3869790,no,yes,23,280,48,19,136,221,92,1369,102,616,133,3,359,4,0
45,415,3785692,no,yes,22,197,33,27,84,313,92,1633,108,735,119,3,321,0,0
93,408,3603324,yes,no,0,312,53,11,109,129,100,2176,74,979,105,2,284,0,1
63,415,4103719,yes,yes,36,199,34,25,110,291,111,1976,92,889,11,6,297,1,0
100,415,3524221,no,no,0,203,35,18,96,217,126,1809,122,814,135,2,365,3,0
53,415,3276179,no,no,0,169,29,19,97,220,87,1543,113,694,109,2,294,0,0
92,415,3596196,yes,no,0,173,29,20,140,240,105,2332,117,1049,9,5,243,1,0
139,510,3749107,no,no,0,134,23,18,106,211,98,1936,125,871,102,2,275,5,1
110,408,3574078,no,yes,40,203,34,10,103,119,128,2349,98,1057,9,9,243,2,0
110,408,3665780,no,no,0,75,13,17,117,201,98,1922,101,865,98,7,265,3,0
215,510,3939619,no,no,0,84,14,10,148,121,91,2266,110,102,107,9,289,0,0
73,415,3559295,no,no,0,192,33,14,86,169,116,1398,87,629,94,6,254,1,0
138,510,4005751,no,no,0,220,37,8,89,88,125,1953,79,879,129,5,348,0,0
137,415,3381027,yes,no,0,135,23,11,95,134,102,2231,81,1004,123,2,332,2,1
36,415,4058867,no,no,0,253,43,16,77,182,151,2758,103,1241,84,2,227,1,0
85,408,3365616,no,no,0,225,38,15,81,177,63,1943,110,874,71,2,192,3,0
108,408,3351697,no,no,0,199,34,23,99,268,60,3549,75,1597,94,3,254,0,1
22,408,3315138,no,no,0,110,19,14,107,167,93,2023,96,91,95,5,257,0,0
107,415,3858240,no,yes,37,60,10,9,102,102,80,2618,106,1178,111,3,3,0,0
51,510,3481359,no,no,0,215,37,13,94,150,58,2834,66,1275,102,5,275,0,0
94,408,3547339,no,no,0,182,31,17,85,202,98,2459,97,1107,92,2,248,4,0
119,510,3491687,no,yes,23,154,26,24,114,278,137,2284,112,1028,118,4,319,2,0
33,415,3802558,no,yes,29,157,27,10,99,118,80,2792,79,1256,139,11,375,4,1
106,415,3652153,no,no,0,208,35,15,91,172,109,1918,143,863,144,7,389,4,0
82,408,3456043,no,no,0,207,35,20,90,233,83,1724,108,776,91,8,246,3,0
86,510,3492808,no,yes,41,119,20,20,101,230,134,2369,58,1066,95,3,257,0,0
97,415,4111715,yes,no,0,144,24,23,117,273,82,1783,81,802,109,3,294,0,0
106,408,3852488,no,yes,32,166,28,18,126,217,93,1731,86,779,141,8,381,4,0
108,510,3777177,no,no,0,139,24,15,122,172,117,2316,92,1042,98,3,265,1,0
114,415,3421099,no,no,0,85,14,21,118,250,86,1934,95,87,145,8,392,1,0
92,408,3864170,yes,no,0,63,11,15,111,181,126,2217,80,998,104,2,281,1,1
59,510,4131269,no,no,0,155,26,20,79,235,123,1694,80,762,87,4,235,1,0
24,510,3964460,no,yes,25,165,28,18,110,209,105,2312,55,104,67,9,181,1,0
151,408,3342730,no,no,0,135,23,12,88,143,112,2239,61,1008,154,1,416,1,0
117,415,3403182,no,no,0,143,24,18,103,211,108,1852,96,833,115,3,311,1,0
78,510,3778608,no,no,0,168,29,19,110,221,73,241,136,1085,125,1,338,1,0
155,408,4173676,no,no,0,262,45,17,55,195,113,1465,85,659,83,6,224,2,0
114,510,4176774,no,yes,30,206,35,22,79,260,91,2916,83,1312,114,6,308,1,0
114,510,4119554,no,yes,28,226,38,16,94,193,117,2324,100,1046,84,9,227,4,0
119,408,4203192,no,no,0,138,24,14,89,171,78,2639,98,1188,135,6,365,3,0
64,510,3891475,no,yes,48,94,16,12,104,136,101,1474,89,663,45,4,122,0,0
118,408,3437734,yes,no,0,160,27,15,123,175,96,1848,99,832,99,3,267,2,0
101,415,4103390,no,no,0,207,35,19,105,225,117,2499,100,1125,146,3,394,0,0
117,415,3446495,no,no,0,135,23,15,121,180,83,2009,104,904,77,3,208,1,0
49,415,3316229,no,yes,28,214,36,20,78,235,100,2062,107,928,8,13,216,3,0
139,415,3377501,no,no,0,193,33,20,104,234,96,2032,101,914,13,3,351,3,0
92,408,3399631,no,yes,28,151,26,17,90,195,79,2392,114,1076,10,3,27,1,0
83,415,3694384,no,no,0,221,38,20,103,232,103,1225,100,551,98,5,265,3,0
148,510,4163915,yes,no,0,219,37,18,88,208,85,2033,99,915,111,4,3,0,0
144,408,3393049,no,yes,48,190,32,10,96,123,67,2142,106,964,65,2,176,2,1
131,415,3617998,no,yes,25,193,33,19,85,226,105,2542,59,1144,109,6,294,2,0
146,510,3554842,yes,no,0,204,35,19,135,219,90,2227,114,1002,105,6,284,3,0
143,415,3876440,no,no,0,172,29,15,97,174,108,1882,119,847,13,4,351,2,0
81,415,3692625,no,no,0,198,34,18,93,211,108,1933,71,87,104,6,281,2,0
48,415,3897073,no,yes,37,212,36,14,115,160,84,1441,80,648,122,1,329,1,0
86,415,3708463,no,yes,28,222,38,25,74,288,100,2403,105,1081,9,2,243,1,0
71,415,3627318,no,no,0,198,34,15,108,182,109,2814,56,1266,67,5,181,3,0
145,408,4121194,no,yes,24,148,25,15,90,176,108,2521,102,1134,156,3,421,2,0
137,510,3559508,no,no,0,206,35,11,122,128,102,1945,84,875,88,5,238,2,0
137,408,3528202,no,no,0,206,35,18,88,209,86,2899,84,1305,145,4,392,2,0
167,510,3355882,no,no,0,208,35,11,88,132,63,2552,98,1148,141,5,381,0,0
89,510,3526976,no,no,0,304,52,22,95,261,114,3121,89,1404,53,3,143,1,1
199,415,3936733,no,yes,34,231,39,19,121,219,99,2993,94,1347,8,2,216,0,0
132,510,3351838,no,no,0,100,17,11,110,129,80,1251,124,563,97,3,262,0,0
94,510,3556930,no,no,0,177,30,16,112,194,112,1467,108,66,59,4,159,1,0
96,415,3875860,no,yes,37,173,29,10,93,120,116,2161,86,972,103,5,278,5,1
96,510,3432605,no,yes,18,173,29,11,86,133,113,2595,70,1168,98,3,265,1,0
166,510,3506759,no,no,0,204,35,15,115,180,152,2168,109,976,95,5,257,1,0
74,415,3711514,no,no,0,86,15,21,83,248,67,1424,85,641,101,5,273,2,0
36,415,3469317,no,no,0,158,27,16,117,184,58,2404,99,1082,119,1,321,0,0
113,415,3984313,no,no,0,216,37,19,129,219,117,2071,91,932,66,9,178,4,0
94,415,4124399,no,no,0,182,31,17,98,200,88,2877,114,1295,66,5,178,1,0
67,415,3301835,no,no,0,172,29,9,80,110,81,1954,111,879,119,4,321,2,0
127,415,4161676,no,no,0,267,45,23,106,265,168,2072,119,932,59,2,159,1,1
121,408,3297347,no,no,0,170,29,30,108,351,68,297,87,1337,112,3,302,0,1
158,415,3606868,no,no,0,158,27,25,106,293,114,2411,89,1085,91,4,246,1,0
136,510,4056641,no,no,0,92,16,22,117,254,77,2141,90,963,103,10,278,1,0
196,415,3932373,no,no,0,234,40,21,109,250,114,1731,70,779,91,5,246,2,0
113,415,4191714,no,no,0,272,46,23,111,269,118,2138,105,962,85,10,23,1,1
122,408,3363819,no,no,0,296,50,18,99,215,89,1339,107,603,114,3,308,4,1
112,510,3413464,no,no,0,194,33,16,101,190,82,1834,107,825,114,2,308,0,0
209,415,4135310,no,no,0,227,39,22,128,258,92,1835,74,826,89,4,24,3,0
62,415,3667912,no,no,0,249,42,19,109,220,118,2657,78,1196,132,2,356,1,1
110,415,3998845,no,yes,38,236,40,17,102,196,112,1835,82,826,97,6,262,1,0
16,510,3682583,no,no,0,206,35,14,69,170,93,2201,64,99,109,3,294,0,0
73,408,3606309,no,no,0,94,16,24,136,280,122,205,77,923,98,4,265,0,0
128,408,3595890,no,no,0,125,21,17,99,205,107,2544,111,1145,189,2,51,0,0
39,408,3322462,no,no,0,60,10,26,158,306,120,1239,46,558,124,3,335,1,0
